PID,Brand,Model No,Inhouse model no.,Shape,Alpha Size,Size,Plating Color,Paint Color,Lens Type,Lens Code,Lens tint color,Tips Shape,Tips color,Tip Code,TR Part Code,A Width (mm),B Height (mm),DBL (mm),Temple Length (mm)
241092,VC Sun,VC S19010,VC S19010,Cateye/ Women,135,N,Light gold W/O EPL,Rose Gold,Sunglass,RBG11,MOCHA FADE,TT2(70),Jinliang F1251,,-,53.6,43.2,18.4,145
241093,VC Sun,VC S19011,VC S19011,Cateye/ Women,142,W,Silver with EPL,,Sunglass,R- VSG15,Purple Fade,TT4(75),Jinliang F1H00120,,-,54.2,45.3,20.7,150
241094,VC Sun,VC S19011,VC S19011,Cateye/ Women,142,W,Gold,,Sunglass,R25,ROSE PINK,TT4(75),JINLIANG F1H00053,,-,54.2,45.3,20.7,150
241095,VC Sun,VC S19012,VC S19012,Cateye/ Women,140,M,Gold,,Sunglass,SG146,Smoke Gradient,TT3(75),Jinliang F1797,,Black opaque shiny,51.1,43.2,22.4,145
241096,VC Sun,VC S19012,VC S19012,Cateye/ Women,140,M,Gold,,Sunglass,RBG11,MOCHA FADE,TT3(75),Jinliang FRP175,,JINLIANG 1016,51.1,43.2,22.4,145
241097,VC Sun,VC S19013,VC S19013,Geometric,138,M,Japnese Gold with EPL,,Sunglass,PAB1310,COFFEE BROWN,TT4(70),Jinliang F1251,,-,52.9,41.1,20.3,145
241098,VC Sun,VC S19013,VC S19013,Geometric,138,M,Black Chrome,Matt Black,Sunglass,BBS13,OLIVE,TT4(70),Jinliang F1797,,-,52.9,41.1,20.3,145
241099,VC Sun,VC S19014,VC S19014,Geometric,136,M,Black Chrome,Shiny Black,Sunglass,RBG10,Brown Grad,TT1(75),Jinliang F1797,,-,53.9,42.1,18.1,145
241100,VC Sun,VC S19014,VC S19014,Geometric,136,M,Silver with EPL,,Sunglass,S09,Charcoal,TT1(75),Jinliang F1H00120,,-,53.9,42.1,18.1,145
241101,VC Sun,VC S19014,VC S19014,Geometric,136,M,Gold,,Sunglass,GG23,GREEN FADE,TT1(75),Jinliang FRP175,,-,53.9,42.1,18.1,145
241102,VC Sun,VC S19015,VC S19015,Geometric,140,M,Semi Matt black,,Sunglass,S09,Charcoal,original,Black opaque,,-,50.4,41.9,19.6,145
241103,VC Sun,VC S19015,VC S19015,Geometric,140,M,Full Rim,Dark Gun Metal With Epl,Sunglass,RUSG14,BLUE SMOKE,original,Black opaque,,-,50.4,41.9,19.6,145
241104,VC Sun,VC S19016,VC S19016,Geometric,141,W,Black Chrome,Shiny Black,Sunglass,RBG10,Brown Grad,TT1(80),Jinliang FRP175,,-,58.2,48.8,15.7,150
241105,VC Sun,VC S19016,VC S19016,Geometric,141,W,Gold,,Sunglass,GG23,GREEN FADE,TT1(80),Jinliang FRP175,,-,58.2,48.8,15.7,150
241106,VC Sun,VC S19017,VC S19017,Geometric,143,W,Gold,,Sunglass,G16,FOREST,TT1(75),Jinliang FRP175,,-,57.4,41.8,16.6,150
241107,VC Sun,VC S19017,VC S19017,Geometric,143,W,Gold,,Sunglass,R25,ROSE PINK,TT1(75),Jinliang FRP175,,-,57.4,41.8,16.6,150
241108,VC Sun,VC S19018,VC S19018,Oval,140,M,Silver with EPL,,Sunglass,SB15,AQUA,TT2(75),Jinliang F1H00120,,-,55.1,41.6,18,145
241109,VC Sun,VC S19018,VC S19018,Oval,140,M,Light gold W/O EPL,Rose Gold,Sunglass,BC1503,ROSE FADE DULL,TT2(70),Jinliang F1251,,-,55.1,41.6,18,145
241110,VC Sun,VC S19019,VC S19019,Oval,142,W,Gold,,Sunglass,RBG11,MOCHA FADE,TT3(75),Jinliang FRP175,,-,55.7,44.7,18.7,150
241111,VC Sun,VC S19019,VC S19019,Oval,142,W,Japnese Gold with EPL,,Sunglass,D15,Brown,TT3(75),Jinliang FRP175,,-,55.7,44.7,18.7,150
241112,VC Sun,VC S19020,VC S19020,Rectangle,137,M,Japnese Gold with EPL,,Sunglass,D15,Brown,TT2(75),Jinliang F1251,,-,54.1,37.6,17.5,145
241113,VC Sun,VC S19020,VC S19020,Rectangle,137,M,Dark gun metal with epl,,Sunglass,G15,#N/A,TT2(75),Jinliang F1H00120,,-,54.1,37.6,17.5,145
241114,VC Sun,VC S19021,VC S19021,Rectangle,139,M,Silver with EPL,,Sunglass,S15,Smoke,TT4(70),Jinliang F1797,,-,55.4,34.4,16.7,145
241115,VC Sun,VC S19021,VC S19021,Rectangle,139,M,Silver with EPL,,Sunglass,R- VSG15,Purple Fade,TT4(70),Jinliang F1H00120,,-,55.4,34.4,16.7,145
241116,VC Sun,VC S19022,VC S19022,Rectangle,137,M,Japnese Gold with EPL,,Sunglass,D15,Brown,TT3(70),Jinliang FRP175,,-,54.5,35.9,16.6,145
241117,VC Sun,VC S19022,VC S19022,Rectangle,137,M,Silver with EPL,,Sunglass,SB15,AQUA,TT3(70),Jinliang F1680,,-,54.5,35.9,16.6,145
241118,VC Sun,VC S19023,VC S19023,Rectangle,136,M,Japnese Gold with EPL,,Sunglass,PAB1310,COFFEE BROWN,TT3(70),Jinliang FRP175,,-,55.7,39.1,13,145
241119,VC Sun,VC S19023,VC S19023,Rectangle,136,M,Dark gun metal with epl,,Sunglass,R- VSG15,Purple Fade,TT3(70),Jinliang F1797,,-,55.7,39.1,13,145
241120,VC Sun,VC S19023,VC S19023,Rectangle,136,M,Silver with EPL,,Sunglass,S09,Charcoal,TT3(70),Jinliang F1H00120,,-,55.7,39.1,13,145
241121,VC Sun,VC S19024,VC S19024,Round,137,M,Gold,,Sunglass,G16,FOREST,TT3(70),Jinliang FRP175,,-,53.7,50.3,20.4,145
241122,VC Sun,VC S19024,VC S19024,Round,137,M,Silver with EPL,,Sunglass,S09,Charcoal,TT3(70),Jinliang F1H00120,,-,53.7,50.3,20.4,145
241123,VC Sun,VC S19024,VC S19024,Round,137,M,Silver with EPL,,Sunglass,RUSG14,BLUE SMOKE,TT3(70),Jinliang F1680,,-,53.7,50.3,20.4,145
241124,VC Sun,VC S19025,VC S19025,Round,139,M,Dark gun metal with epl,,Sunglass,SG146,Smoke Gradient,TT2(75),Jinliang F1H00120,,-,53.6,48.5,21.5,145
241125,VC Sun,VC S19025,VC S19025,Round,139,M,Gold,,Sunglass,R25,ROSE PINK,TT2(70),Jinliang F1251,,-,53.6,48.5,21.5,145
241126,VC Sun,VC S19026,VC S19026,Round,139,M,Gold,,Sunglass,RBG11,MOCHA FADE,TT3(75),Jinliang FRP175,,JINLIANG 1016,52.2,48.9,23,145
241127,VC Sun,VC S19026,VC S19026,Round,139,M,Dark gun metal with epl,,Sunglass,S09,Charcoal,TT3(75),Jinliang F1797,,Black Shiny Opaque,52.2,48.9,23,145
241128,VC Sun,VC S19026,VC S19026,Round,139,M,Silver with EPL,,Sunglass,SB15,AQUA,TT3(75),Jinliang F1680,,JINLIANG F1680,52.2,48.9,23,145
241129,VC Sun,VC S19027,VC S19027,Cateye/ Women,139,M,Gold,,Sunglass,RBG11,MOCHA FADE,TT4(70),Jinliang F1251,,-,54,45,19,145
241130,VC Sun,VC S19027,VC S19027,Cateye/ Women,139,M,Light gold W/O EPL,Rose Gold,Sunglass,BC1503,ROSE FADE DULL,TT4(70),JINLIANG F1H00053,,-,54,45,19,145
241131,VC Sun,VC S19028,VC S19028,Square,140,M,Gold,,Sunglass,GG23,GREEN FADE,TT4(70),Jinliang F1H00120,,-,56.2,47.1,16.9,145
241132,VC Sun,VC S19028,VC S19028,Square,140,M,Black Chrome,Black,Sunglass,C14,Coffee,TT4(70),Jinliang F1251,,-,56.2,47.1,16.9,145
241133,VC Sun,VC S19029,VC S19029,Geometric,139,M,Gold,,Sunglass,SG146,Smoke Gradient,TT1(70),Jinliang F1797,,Black Shiny Opaque,51.6,47.5,20.4,145
241134,VC Sun,VC S19029,VC S19029,Geometric,139,M,Gold,,Sunglass,RBG11,MOCHA FADE,TT1(70),Jinliang FRP175,,JINLIANG 1016,51.6,47.5,20.4,145
